[11/15 05:50:57] [INFO] [资源报告] MEM: 230MB/65536MB CPU: 0% Heap: 42MB/66MB RSS: 109MB
[11/15 05:51:02] [INFO] [资源报告] MEM: 216MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:51:07] [INFO] [资源报告] MEM: 209MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:51:12] [INFO] [资源报告] MEM: 293MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:51:17] [INFO] [资源报告] MEM: 382MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:51:22] [INFO] [资源报告] MEM: 301MB/65536MB CPU: 0% Heap: 35MB/37MB RSS: 96MB
[11/15 05:51:27] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/38MB RSS: 97MB
[11/15 05:51:32] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 34MB/38MB RSS: 97MB
[11/15 05:51:37] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 34MB/38MB RSS: 97MB
[11/15 05:51:42] [INFO] [资源报告] MEM: 305MB/65536MB CPU: 0% Heap: 34MB/38MB RSS: 97MB
[11/15 05:51:47] [INFO] [资源报告] MEM: 305MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:51:52] [INFO] [资源报告] MEM: 305MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:51:57] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:02] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:07] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:12] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 35MB/37MB RSS: 96MB
[11/15 05:52:17] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 35MB/37MB RSS: 97MB
[11/15 05:52:22] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:27] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:32] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:37] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:42] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:47] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 35MB/37MB RSS: 96MB
[11/15 05:52:52] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:52:57] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:53:02] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:53:07] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:53:12] [INFO] [资源报告] MEM: 303MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
[11/15 05:53:17] [INFO] [资源报告] MEM: 304MB/65536MB CPU: 0% Heap: 35MB/37MB RSS: 96MB
[11/15 05:53:22] [INFO] [资源报告] MEM: 305MB/65536MB CPU: 0% Heap: 34MB/37MB RSS: 96MB
